"Obs_ID","Study_ID","Authors_and_Year","Year","Taxon","Taxon_Phylo","Class","Class_Order","Speciation_proxy","SexSel_measure","SexSel_proxy","SexSel_proxy_mechanism","SexSel_proxy_stage","SexSel_proxy_sex","PhyloCorrection","N_r","r","r_Var","r_lCI","r_uCI","z","z_Var","z_lCI","z_uCI"
109,30,"Krueger 2008",2008,"Accipitridae","Accipitridae","Aves",6,"Species richness","Mating system","Mating system","Both","Both","Both","Yes",52,0.348,0.0151,0.107151167742088,0.588848832257912,0.3632,0.0204,0.0680560056011202,0.62794399439888
110,30,"Krueger 2008",2008,"Accipitridae","Accipitridae","Aves",6,"Species richness","Sexual size dimorphism","Sexual size dimorphism","Competition","Pre-mating","Both","Yes",50,0.058,0.0203,-0.22125701423599,0.33725701423599,0.0581,0.0213,-0.228052582578798,0.344052582578798
111,31,"Mitra et al. 1996",1996,"Aves","Aves","Aves",6,"Species richness","Mating system","Mating system","Both","Both","Both","No",14,0.4354,0.0505,-0.00505521906318696,0.875855219063187,0.4665,0.0909,-0.155532686521908,1.02633268652191
112,32,"Moller and Cuervo 1998",1998,"Aves","Aves","Aves",6,"Species richness","Sexual dichromatism","Dichromatism","Choice","Pre-mating","Both","No",68,0.3178,0.0121,0.1022,0.5334,0.3292,0.0154,0.0745703965385792,0.561029603461421
113,32,"Moller and Cuervo 1998",1998,"Aves","Aves","Aves",6,"Species richness","Mating system","Mating system","Both","Both","Both","No",67,0.294,0.0126,0.0739905456576923,0.514009454342308,0.303,0.0156,0.0491960784627828,0.538803921537217
114,33,"Seddon et al. 2008",2008,"Thamnophilidae","Thamnophilidae","Aves",6,"Species richness","Sexual dichromatism","Dichromatism","Choice","Pre-mating","Both","Yes",51,0.3316,0.0158,0.0852318202364599,0.57796817976354,0.3446,0.0208,0.0489247800036233,0.614275219996377
115,33,"Seddon et al. 2008",2008,"Thamnophilidae","Thamnophilidae","Aves",6,"Species richness","Song pitch and bandwidth","Trait","Choice","Pre-mating","Male","Yes",51,0.1831,0.0187,-0.0849259688910759,0.451125968891076,0.1852,0.0208,-0.0995752199963767,0.465775219996377
116,33,"Seddon et al. 2008",2008,"Thamnophilidae","Thamnophilidae","Aves",6,"Species richness","Song note type, pace and number","Trait","Choice","Pre-mating","Male","Yes",51,0.0629,0.0198,-0.212896446677618,0.338696446677618,0.063,0.0208,-0.219775219996377,0.345575219996377
120,34,"Issac et al. 2005",2005,"Mammalia","Mammalia","Mammalia",7,"Species richness","Sexual mass dimorphism","Sexual size dimorphism","Competition","Pre-mating","Both","Yes",302,-0.0789,0.0033,-0.191493427872145,0.0336934278721454,-0.079,0.0033,-0.191493427872145,0.0336934278721454
121,34,"Issac et al. 2005",2005,"Mammalia","Mammalia","Mammalia",7,"Species richness","Sexual length dimorphism","Sexual size dimorphism","Competition","Pre-mating","Both","Yes",69,0.084,0.0145,-0.152015253744329,0.320015253744329,0.0842,0.0152,-0.157645028916384,0.325645028916384
122,35,"Ellis and Oakley 2016",2016,"Animalia","Animalia","Animalia",8,"Species richness","Bioluminescent courtship","Trait","Choice","Pre-mating","Both","No",10,0.6268,0.041,0.229930248066195,1.02366975193381,0.7361,0.1429,-0.114121480320283,1.36772148032028
123,36,"Cardoso and Mota 2008",2008,"Carduelis","Carduelis","Aves",6,"Speciation rate","Male plumage colouration","Trait","Choice","Pre-mating","Male","Yes",23,0.19,0.0422,-0.212635716249813,0.592635716249813,0.1923,0.05,-0.248269323589959,0.628269323589959
124,36,"Cardoso and Mota 2008",2008,"Carduelis","Carduelis","Aves",6,"Speciation rate","Male plumage carotenoids","Trait","Choice","Pre-mating","Male","Yes",23,0.21,0.0415,-0.189282356234282,0.609282356234282,0.2132,0.05,-0.228269323589959,0.648269323589959
125,36,"Cardoso and Mota 2008",2008,"Carduelis","Carduelis","Aves",6,"Speciation rate","Male plumage melanin","Trait","Choice","Pre-mating","Male","Yes",23,0.06,0.0451,-0.356240507399268,0.476240507399268,0.0601,0.05,-0.378269323589959,0.498269323589959
